"","genes","pathway","pv","bh"
"1","AB12615715","PathWay_16",0.599139256870753,0.994971991026945
"2","AB48674611","PathWay_21",0.849996286611883,0.994971991026945
"3","AC34813946","PathWay_12",0.77506980835489,0.994971991026945
"4","AC57959178","PathWay_17",0.599504820826646,0.994971991026945
"5","AC88264732","PathWay_20",0.498137100732015,0.994971991026945
"6","AC88572579","PathWay_9",0.93590209644017,0.994971991026945
"7","AD46939367","PathWay_7",0.339219866847833,0.947985434061291
"8","AD51367786","PathWay_6",0.769358848834581,0.994971991026945
"9","AE96432495","PathWay_3",0.650903920553062,0.994971991026945
"10","AG54661387","PathWay_2",0.687951761861663,0.994971991026945
"11","AI56598812","PathWay_17",0.0775631784884813,0.850957663237105
"12","AI74191465","PathWay_21",0.957992778318341,0.994971991026945
"13","AI74294896","PathWay_3",0.695690645736005,0.994971991026945
"14","AJ23146653","PathWay_22",0.37290949363874,0.979170490066576
"15","AJ37894447","PathWay_6",0.886444409365185,0.994971991026945
"16","AJ74143466","PathWay_3",0.76369193256645,0.994971991026945
"17","AK48388255","PathWay_24",0.685854421383103,0.994971991026945
"18","AK99268135","PathWay_16",0.0699149581135247,0.838198867080866
"19","AM69844565","PathWay_17",0.657952998029747,0.994971991026945
"20","AN78387868","PathWay_4",0.639529801484005,0.994971991026945
"21","AO38151353","PathWay_24",0.446972605892881,0.994971991026945
"22","AP16731988","PathWay_1",0.0626136099947807,0.816603823249016
"23","AP23746115","PathWay_10",0.9138748653537,0.994971991026945
"24","AP53541444","PathWay_20",0.116878549078976,0.850957663237105
"25","AQ48423658","PathWay_1",0.342145937992689,0.947985434061291
"26","AS46918996","PathWay_19",0.761242059901963,0.994971991026945
"27","AS51821323","PathWay_4",0.0277191201049003,0.769975558469454
"28","AS82175136","PathWay_3",0.25752612879861,0.926624239341914
"29","AT14481626","PathWay_3",0.708705964614577,0.994971991026945
"30","AT28587526","PathWay_1",0.126699579260015,0.850957663237105
"31","AT54221918","PathWay_22",0.337038683331757,0.947985434061291
"32","AT76853777","PathWay_7",0.52814550005923,0.994971991026945
"33","AU25282854","PathWay_1",0.749986791203346,0.994971991026945
"34","AV37612859","PathWay_3",0.94136120205427,0.994971991026945
"35","AV66191645","PathWay_21",0.0610536903690995,0.816603823249016
"36","AV76288914","PathWay_9",0.471394875248901,0.994971991026945
"37","AW56111269","PathWay_17",0.664119369316941,0.994971991026945
"38","AW62292942","PathWay_1",0.775747059694062,0.994971991026945
"39","AX24528237","PathWay_23",0.299428317040121,0.938927909578501
"40","AX55744485","PathWay_25",0.68924248483558,0.994971991026945
"41","AY43451613","PathWay_12",0.636444412369556,0.994971991026945
"42","AY45754756","PathWay_12",0.283136606815286,0.93585771838743
"43","BC21252866","PathWay_23",6.50166494050844e-05,0.00591060449137131
"44","BC97529647","PathWay_5",3.063621975485e-05,0.00437660282212142
"45","BD62866373","PathWay_23",0.852831822117192,0.994971991026945
"46","BD78717755","PathWay_9",0.908882444347017,0.994971991026945
"47","BF69831142","PathWay_17",0.107253877507896,0.850957663237105
"48","BH48549164","PathWay_17",0.537390617494234,0.994971991026945
"49","BI11427195","PathWay_19",0.494528370266432,0.994971991026945
"50","BI25278941","PathWay_20",0.368481646334132,0.979170490066576
"51","BI44889929","PathWay_1",0.546437385044673,0.994971991026945
"52","BI54476525","PathWay_19",0.487910068831417,0.994971991026945
"53","BI64232369","PathWay_23",0.144398250980477,0.850957663237105
"54","BJ72295736","PathWay_22",0.157122022495183,0.850957663237105
"55","BJ72478316","PathWay_25",0.630494476945863,0.994971991026945
"56","BK18483591","PathWay_16",0.156630233613256,0.850957663237105
"57","BK99166239","PathWay_20",0.621700818394302,0.994971991026945
"58","BM49174547","PathWay_24",0.158305227268377,0.850957663237105
