Protein,Log2Intensity,Run,Condition,BioReplicate,Intensity
sp|D6VTK4|STE2_YEAST,26.8123155,JD_06232014_sample1_B.raw,Condition1,1,117845015.7
sp|D6VTK4|STE2_YEAST,26.60785857,JD_06232014_sample1_C.raw,Condition1,1,102273601.6
sp|D6VTK4|STE2_YEAST,26.58300546,JD_06232014_sample1-A.raw,Condition1,1,100526837.1
sp|D6VTK4|STE2_YEAST,26.8356324,JD_06232014_sample2_A.raw,Condition2,2,119765106.5
sp|D6VTK4|STE2_YEAST,26.79430259,JD_06232014_sample2_B.raw,Condition2,2,116382797.6
sp|D6VTK4|STE2_YEAST,26.60862939,JD_06232014_sample2_C.raw,Condition2,2,102328260.1
sp|D6VTK4|STE2_YEAST,26.62966122,JD_06232014_sample3_A.raw,Condition3,3,103830943.8
sp|D6VTK4|STE2_YEAST,26.49626195,JD_06232014_sample3_B.raw,Condition3,3,94660680
sp|D6VTK4|STE2_YEAST,26.53029065,JD_06232014_sample3_C.raw,Condition3,3,96919971.85
sp|D6VTK4|STE2_YEAST,26.60611639,JD_06232014_sample4_B.raw,Condition4,4,102150171.8
sp|D6VTK4|STE2_YEAST,26.38611202,JD_06232014_sample4_C.raw,Condition4,4,87702341.21
sp|D6VTK4|STE2_YEAST,26.65573161,JD_06232014_sample4-A.raw,Condition4,4,105724288.5
sp|O13297|CET1_YEAST,24.71911772,JD_06232014_sample1_B.raw,Condition1,1,27618233.69
sp|O13297|CET1_YEAST,24.67436544,JD_06232014_sample1_C.raw,Condition1,1,26774669.67
sp|O13297|CET1_YEAST,24.71808913,JD_06232014_sample1-A.raw,Condition1,1,27598549.9
sp|O13297|CET1_YEAST,24.52340502,JD_06232014_sample2_A.raw,Condition2,2,24114624.67
sp|O13297|CET1_YEAST,24.67592761,JD_06232014_sample2_B.raw,Condition2,2,26803677.35
sp|O13297|CET1_YEAST,24.5786477,JD_06232014_sample2_C.raw,Condition2,2,25055911.74
sp|O13297|CET1_YEAST,24.38955009,JD_06232014_sample3_A.raw,Condition3,3,21977898.22
sp|O13297|CET1_YEAST,24.62652458,JD_06232014_sample3_B.raw,Condition3,3,25901361.16
sp|O13297|CET1_YEAST,24.66196638,JD_06232014_sample3_C.raw,Condition3,3,26545544.16
sp|O13297|CET1_YEAST,24.64885696,JD_06232014_sample4_B.raw,Condition4,4,26305423.85
sp|O13297|CET1_YEAST,24.66559253,JD_06232014_sample4_C.raw,Condition4,4,26612349.13
sp|O13297|CET1_YEAST,24.50814404,JD_06232014_sample4-A.raw,Condition4,4,23860882.06
sp|O13329|FOB1_YEAST,23.37678452,JD_06232014_sample1_B.raw,Condition1,1,10892143.21
sp|O13329|FOB1_YEAST,24.01464021,JD_06232014_sample1_C.raw,Condition1,1,16948334.95
sp|O13329|FOB1_YEAST,23.470752,JD_06232014_sample1-A.raw,Condition1,1,11625198.38
sp|O13329|FOB1_YEAST,23.17165193,JD_06232014_sample2_A.raw,Condition2,2,9448487.221
sp|O13329|FOB1_YEAST,23.43427098,JD_06232014_sample2_B.raw,Condition2,2,11334920.84
sp|O13329|FOB1_YEAST,23.76997117,JD_06232014_sample2_C.raw,Condition2,2,14304553.89
sp|O13329|FOB1_YEAST,24.20100246,JD_06232014_sample3_A.raw,Condition3,3,19285356.24
sp|O13329|FOB1_YEAST,23.28643332,JD_06232014_sample3_B.raw,Condition3,3,10230925.48
sp|O13329|FOB1_YEAST,23.73740599,JD_06232014_sample3_C.raw,Condition3,3,13985281.82
sp|O13329|FOB1_YEAST,23.16646222,JD_06232014_sample4_B.raw,Condition4,4,9414559.871
sp|O13329|FOB1_YEAST,23.60780266,JD_06232014_sample4_C.raw,Condition4,4,12783704.77
sp|O13329|FOB1_YEAST,23.03472727,JD_06232014_sample4-A.raw,Condition4,4,8592980.974
sp|O13539|THP2_YEAST,27.52021413,JD_06232014_sample1_B.raw,Condition1,1,192490783.5
sp|O13539|THP2_YEAST,27.38510269,JD_06232014_sample1_C.raw,Condition1,1,175282009.7
sp|O13539|THP2_YEAST,24.29661039,JD_06232014_sample1-A.raw,Condition1,1,20606703.41
sp|O13539|THP2_YEAST,25.8806617,JD_06232014_sample2_A.raw,Condition2,2,61781077.63
sp|O13539|THP2_YEAST,26.10253757,JD_06232014_sample2_B.raw,Condition2,2,72052121.31
sp|O13539|THP2_YEAST,25.90646474,JD_06232014_sample2_C.raw,Condition2,2,62895991.58
sp|O13539|THP2_YEAST,25.65001688,JD_06232014_sample3_A.raw,Condition3,3,52653163.58
sp|O13539|THP2_YEAST,26.33852768,JD_06232014_sample3_B.raw,Condition3,3,84856843.59
sp|O13539|THP2_YEAST,25.9179941,JD_06232014_sample3_C.raw,Condition3,3,63400641.41
sp|O13539|THP2_YEAST,26.70100849,JD_06232014_sample4_B.raw,Condition4,4,109094905.4
sp|O13539|THP2_YEAST,25.91781133,JD_06232014_sample4_C.raw,Condition4,4,63392609.91
sp|O13539|THP2_YEAST,25.07576193,JD_06232014_sample4-A.raw,Condition4,4,35363602.89
sp|O13547|CCW14_YEAST,27.22233967,JD_06232014_sample1_B.raw,Condition1,1,156581623.9
sp|O13547|CCW14_YEAST,26.80453614,JD_06232014_sample1_C.raw,Condition1,1,117211277.1
sp|O13547|CCW14_YEAST,27.11638385,JD_06232014_sample1-A.raw,Condition1,1,145493942.7
sp|O13547|CCW14_YEAST,27.17385901,JD_06232014_sample2_A.raw,Condition2,2,151407246
sp|O13547|CCW14_YEAST,26.9130183,JD_06232014_sample2_B.raw,Condition2,2,126364703.3
sp|O13547|CCW14_YEAST,26.88313916,JD_06232014_sample2_C.raw,Condition2,2,123774524
sp|O13547|CCW14_YEAST,26.56415788,JD_06232014_sample3_A.raw,Condition3,3,99222081.03
sp|O13547|CCW14_YEAST,26.75541175,JD_06232014_sample3_B.raw,Condition3,3,113287367
sp|O13547|CCW14_YEAST,26.95026552,JD_06232014_sample3_C.raw,Condition3,3,129669642.2
sp|O13547|CCW14_YEAST,26.98081512,JD_06232014_sample4_B.raw,Condition4,4,132444722.8
sp|O13547|CCW14_YEAST,26.80273778,JD_06232014_sample4_C.raw,Condition4,4,117065261
sp|O13547|CCW14_YEAST,27.07525615,JD_06232014_sample4-A.raw,Condition4,4,141404829.2
sp|O13563|RPN13_YEAST,26.09475876,JD_06232014_sample1_B.raw,Condition1,1,71664671.81
sp|O13563|RPN13_YEAST,26.29252509,JD_06232014_sample1_C.raw,Condition1,1,82193734.62
sp|O13563|RPN13_YEAST,26.17055781,JD_06232014_sample1-A.raw,Condition1,1,75530594.68
sp|O13563|RPN13_YEAST,25.90881817,JD_06232014_sample2_A.raw,Condition2,2,62998675.87
sp|O13563|RPN13_YEAST,26.12989102,JD_06232014_sample2_B.raw,Condition2,2,73431260.03
sp|O13563|RPN13_YEAST,26.01077688,JD_06232014_sample2_C.raw,Condition2,2,67612041.82
sp|O13563|RPN13_YEAST,26.17790862,JD_06232014_sample3_A.raw,Condition3,3,75916419.75
sp|O13563|RPN13_YEAST,26.03752709,JD_06232014_sample3_B.raw,Condition3,3,68877387.64
sp|O13563|RPN13_YEAST,26.11412171,JD_06232014_sample3_C.raw,Condition3,3,72632993.76
sp|O13563|RPN13_YEAST,26.07537846,JD_06232014_sample4_B.raw,Condition4,4,70708408.9
sp|O13563|RPN13_YEAST,26.0541496,JD_06232014_sample4_C.raw,Condition4,4,69675571.74
sp|O13563|RPN13_YEAST,25.77957603,JD_06232014_sample4-A.raw,Condition4,4,57600421.38
sp|O13585|YP089_YEAST,23.11546896,JD_06232014_sample1_B.raw,Condition1,1,9087606.653
sp|O13585|YP089_YEAST,23.1525809,JD_06232014_sample1_C.raw,Condition1,1,9324409.28
sp|O13585|YP089_YEAST,23.32103863,JD_06232014_sample1-A.raw,Condition1,1,10479297.21
sp|O13585|YP089_YEAST,22.79888705,JD_06232014_sample2_A.raw,Condition2,2,7297076.005
sp|O13585|YP089_YEAST,22.9952031,JD_06232014_sample2_B.raw,Condition2,2,8360762.551
sp|O13585|YP089_YEAST,23.29920669,JD_06232014_sample2_C.raw,Condition2,2,10321910.5
sp|O13585|YP089_YEAST,23.29309615,JD_06232014_sample3_A.raw,Condition3,3,10278284.46
sp|O13585|YP089_YEAST,23.23074921,JD_06232014_sample3_B.raw,Condition3,3,9843563.199
sp|O13585|YP089_YEAST,23.25969935,JD_06232014_sample3_C.raw,Condition3,3,10043086.3
sp|O13585|YP089_YEAST,23.14098141,JD_06232014_sample4_B.raw,Condition4,4,9249740.173
sp|O13585|YP089_YEAST,23.12483263,JD_06232014_sample4_C.raw,Condition4,4,9146780.692
sp|O13585|YP089_YEAST,23.22298219,JD_06232014_sample4-A.raw,Condition4,4,9790710.924
sp|O14455|RL36B_YEAST,29.55544625,JD_06232014_sample1_B.raw,Condition1,1,788997916.7
sp|O14455|RL36B_YEAST,29.91534338,JD_06232014_sample1_C.raw,Condition1,1,1012548158
sp|O14455|RL36B_YEAST,29.32020562,JD_06232014_sample1-A.raw,Condition1,1,670287886.2
sp|O14455|RL36B_YEAST,29.18526631,JD_06232014_sample2_A.raw,Condition2,2,610436636.5
