"","genes","pathway","pv","bh"
"1","AB56972141","PathWay_7",0.00571707693668079,0.519734266970981
"2","AB68376681","PathWay_3",0.666676098864453,0.980374455179809
"3","AC17421997","PathWay_20",0.52749124653883,0.973731147379828
"4","AC61392372","PathWay_15",0.124159158028971,0.885167745022273
"5","AC84831814","PathWay_5",0.318390734765736,0.957529685063206
"6","AD35317946","PathWay_11",0.215692743303061,0.957529685063206
"7","AD38466449","PathWay_21",0.567642983346457,0.973731147379828
"8","AD52633734","PathWay_11",0.116271888138224,0.885167745022273
"9","AD64489265","PathWay_17",0.130494729661191,0.891795034859259
"10","AD73725145","PathWay_8",0.0810254763503973,0.885167745022273
"11","AF72571638","PathWay_15",0.370347827068555,0.970946353595147
"12","AI58623298","PathWay_18",0.0799083723467904,0.885167745022273
"13","AI73283449","PathWay_15",0.463273306805356,0.973731147379828
"14","AJ43326998","PathWay_8",0.0621990651007796,0.885167745022273
"15","AK31853452","PathWay_8",0.464163867613118,0.973731147379828
"16","AK31876929","PathWay_18",0.481581074109251,0.973731147379828
"17","AL61775114","PathWay_10",0.789623146756308,0.987380721307236
"18","AL61977166","PathWay_4",0.495665926295895,0.973731147379828
"19","AL95881257","PathWay_10",0.650489488894253,0.973731147379828
"20","AM68389677","PathWay_23",0.655021431071236,0.974734272427434
"21","AO21815162","PathWay_22",0.206193809601079,0.957529685063206
"22","AO32112383","PathWay_11",0.0302501900187903,0.885167745022273
"23","AO33965638","PathWay_22",0.0727719691731494,0.885167745022273
"24","AO53687781","PathWay_24",0.802716367059768,0.987380721307236
"25","AO95191253","PathWay_15",0.118815187577544,0.885167745022273
"26","AP56754496","PathWay_2",0.414465498693965,0.973731147379828
"27","AP66641161","PathWay_13",0.857852829009516,0.990592181304291
"28","AQ47977194","PathWay_16",0.437398972478995,0.973731147379828
"29","AQ82843851","PathWay_8",0.269874588239148,0.957529685063206
"30","AR31248382","PathWay_18",0.499644727180495,0.973731147379828
"31","AR66839852","PathWay_15",0.349851274531048,0.960882582486145
"32","AS82462882","PathWay_24",0.0544838644978689,0.885167745022273
"33","AT35938574","PathWay_12",0.884441109461797,0.994973021175806
"34","AT73997683","PathWay_24",0.174881452352835,0.957529685063206
"35","AT93449939","PathWay_21",0.926062573817463,0.995513378052901
"36","AU15311759","PathWay_19",0.824880473409736,0.989966166139412
"37","AU22874647","PathWay_21",0.687271495265173,0.980415827767721
"38","AU31453557","PathWay_16",0.983922605861358,0.998084820388158
"39","AU87184971","PathWay_5",0.847653330262525,0.989966166139412
"40","AV46528915","PathWay_12",0.680310891077215,0.980415827767721
"41","AX27486927","PathWay_1",0.098181625083077,0.885167745022273
"42","AX35525775","PathWay_10",0.157881796569542,0.907366646951391
"43","AZ47129727","PathWay_15",0.582067238651194,0.973731147379828
"44","BC33622518","PathWay_8",0.0401760647909923,0.885167745022273
"45","BD94837775","PathWay_24",0.432109237501544,0.973731147379828
"46","BE23356441","PathWay_17",0.295633943629268,0.957529685063206
"47","BF11563976","PathWay_14",0.652282734457149,0.973731147379828
"48","BH73714724","PathWay_9",0.0661563803186558,0.885167745022273
"49","BI92562124","PathWay_20",0.315970663601506,0.957529685063206
"50","BJ59658665","PathWay_1",0.0295192286967719,0.885167745022273
"51","BJ81173318","PathWay_6",0.942794373211486,0.998029843981833
"52","BK46542663","PathWay_14",0.399805146605417,0.970946353595147
"53","BL38365422","PathWay_17",0.251072619223888,0.957529685063206
"54","BL57247619","PathWay_12",0.0281015414180554,0.885167745022273
"55","BL62218476","PathWay_8",0.574609509522835,0.973731147379828
"56","BN75643766","PathWay_9",0.840313825722035,0.989966166139412
"57","BO29545861","PathWay_6",0.796464147450746,0.987380721307236
"58","BO47154461","PathWay_20",0.144959415233712,0.891795034859259
"59","BO92573528","PathWay_8",0.668363168411998,0.980374455179809
"60","BO92641596","PathWay_6",0.340204336554652,0.960882582486145
"61","BQ97946259","PathWay_12",0.105357066177119,0.885167745022273
"62","BR39122762","PathWay_25",0.205345136075209,0.957529685063206
"63","BR48657615","PathWay_19",0.436268223287255,0.973731147379828
"64","BT15764476","PathWay_24",0.892491583904448,0.995513378052901
"65","BT92346769","PathWay_22",0.358198024197959,0.960882582486145
"66","BV11797398","PathWay_7",0.0574955858042392,0.885167745022273
"67","BV67977383","PathWay_2",0.889893550466919,0.995406656003265
"68","BW34247416","PathWay_8",0.22973826625419,0.957529685063206
"69","BW71253181","PathWay_10",0.121935911296629,0.885167745022273
"70","BX25172448","PathWay_14",0.272267839294722,0.957529685063206
"71","BY63298681","PathWay_17",0.367624449996069,0.968372673653429
"72","BZ32473449","PathWay_11",0.474265122423151,0.973731147379828
"73","BZ88979176","PathWay_12",0.974014907922326,0.998029843981833
"74","CA44439549","PathWay_10",0.141314363544084,0.891795034859259
"75","CA79624338","PathWay_4",0.615162629604111,0.973731147379828
"76","CB68535163","PathWay_11",0.226252418400459,0.957529685063206
"77","CD11878965","PathWay_1",0.937929653387541,0.998029843981833
"78","CD69619146","PathWay_16",0.197843866992765,0.957529685063206
"79","CD81612841","PathWay_19",0.786485495572587,0.987380721307236
"80","CE27365131","PathWay_25",0.141122224636859,0.891795034859259
"81","CE69824751","PathWay_10",0.474682625761954,0.973731147379828
"82","CF38263437","PathWay_10",0.682448887531898,0.980415827767721
"83","CG39323277","PathWay_4",0.576136200626717,0.973731147379828
"84","CG67795559","PathWay_23",0.612350063372938,0.973731147379828
"85","CH17566366","PathWay_9",0.124337641769813,0.885167745022273
"86","CI63588851","PathWay_13",0.777007487436554,0.987380721307236
"87","CJ11387582","PathWay_14",0.383816046108198,0.970946353595147
"88","CJ59866696","PathWay_17",3.5093779053954e-07,0.000347490660541754
"89","CK23894136","PathWay_4",0.796695768267101,0.987380721307236
"90","CK47998246","PathWay_8",0.0623090657752803,0.885167745022273
"91","CK68541135","PathWay_15",0.0131782133834452,0.878547558896344
"92","CL45621996","PathWay_4",0.509379377950781,0.973731147379828
"93","CL74592749","PathWay_5",0.0662734033674501,0.885167745022273
"94","CL95914459","PathWay_1",5.41749810152922e-06,0.00180583270050974
"95","CM48964199","PathWay_13",0.897366144887807,0.995513378052901
