Club	League	Cheapest season ticket	Most expensive season ticket	Cheapest match-day ticket	Most expensive match-day ticket	Cheapest day out	Programme	Pie	Tea	lat	lon	e	n
Arsenal	1	985	1955	26	126	34.3	3	3.3	2	51.554928	-0.108597	531224.7116	185699.6393
Aston Villa	1	325	595	20	45	28.3	3	3.2	2.1	52.508973	-1.884756	407918.7919	290126.2377
Chelsea	1	595	1250	41	87	49.6	3	3.6	2	51.481757	-0.190737	525731.6839	177418.6429
Everton	1	399	672.3	31	43	38.9	3	2.8	2.1	53.438659	-2.966137	335917.6429	393977.4031
Fulham	1	399	959	20	75	29.3	3.5	3.9	1.9	51.474928	-0.221443	523618.0627	176606.9911
Liverpool	1	725	802	39	48	47.3	3	3.1	2.2	53.430887	-2.960901	336253.8063	393108.0786
Man City	1	275	695	26	58	35	3	3.5	2.5	53.483114	-2.200613	386784.5999	398507.0853
Man United	1	532	950	30	52	38.6	3	3.1	2.5	53.463067	-2.291197	380764	396298
Newcastle	1	322	909	15	70	23	3	2.8	2.2	54.975422	-1.621213	424343.9714	564600.018
Norwich	1	471	790	30	50	38	3.5	2.5	2	52.622109	1.308789	624058.9767	307845.4076
QPR	1	499	949	25	55	33	3	3	2	51.509172	-0.232022	522791.4334	180397.2902
Reading	1	350	595	37	50	45	3	3.2	1.8	51.422273	-0.982504	470845.1116	169742.1833
Southampton	1	495	780	28	48	36.2	3	3.2	2	50.905577	-1.390972	442919.4108	111965.9517
Stoke	1	344	609	25	50	33.1	3.5	2.6	2	52.988544	-2.175207	388335.5728	343482.0528
Sunderland	1	400	845	25	40	33	3	2.9	2.1	54.914341	-1.38814	439322.0667	557908.5398
Swansea	1	429	499	35	45	42.8	3	3	1.8	51.641579	-3.935766	266148.5033	195417.0146
Tottenham	1	730	1845	32	81	41.2	3.5	3.7	2	51.603106	-0.065918	534041.6059	191134.587
West Brom	1	349	449	25	39	33.1	3	2.9	2.2	52.50905706	-1.963750454	402557.3362	290129.9844
West Ham	1	480	850	36	67	44.5	3.5	3	2	51.531874	0.039268	541546.4939	183411.4445
Wigan	1	255	310	20	0	27.1	3	2.3	1.8	53.547626	-2.653799	356776.9441	405864.5396
Barnsley	2	315	435	25	28	33.1	3	3	2.1	53.552292	-1.467791	435357.6665	406316.2891
Birmingham	2	351	583	21	40	29	3	2.8	2.2	52.475762	-1.868556	409025.015	286433.8734
Blackburn	2	259	459	15	37	22.5	3	2.3	2.2	53.728379	-2.489004	367834.4089	425886.7303
Blackpool	2	339	404	24	25	30.7	3	2.2	1.5	53.804655	-3.047848	331089.5608	434771.5532
Bolton	2	285	475	22	35	28.9	3	2.4	1.5	53.58071	-2.535782	364624.345	409479.9484
Brighton	2	425	625	28	39	37.4	3.5	3.9	2	50.852694	-0.159473	529653.2139	107522.1833
Bristol City	2	249	419	25	30	33	3	3	2	51.438549	-2.629112	356368	171249
Burnley	2	299	526	22	31	29.3	3	2.5	1.8	53.789218	-2.230053	384941.1806	432569.121
Cardiff	2	329	519	0	0	7.6	3	3	1.6	51.474621	-3.19994	316758.1588	175756.2949
Charlton	2	290	425	20	30	27.8	3	2.95	1.85	51.486487	0.036221	541475.5966	178358.4779
Crystal Palace	2	395	540	20	30	28.5	3	3.5	2	51.398188	-0.085659	533270.5482	168311.1629
Derby	2	300	560	0	0	7.9	3	2.9	2	52.914725	-1.447105	437276.2006	335398.6866
Huddersfield	2	339	599	10	32	17.8	3	2.9	1.9	53.653897	-1.768713	415384.1817	417513.6861
Hull	2	485	552	20	30	28.2	3	3.2	2	53.745761	-0.371325	507504.7401	428940.2751
Ipswich	2	390	745	22.5	42.5	31	3	3.5	2	52.054529	1.145561	615758.859	244241.2645
Leeds	2	462	752	20	38	28.2	4	2.5	1.7	53.777884	-1.571817	428314.7141	431368.4512
Leicester	2	350	650	15	40	22.8	3	3	1.8	52.620272	-1.142578	458143.7077	302845.5001
Middlesbrough	2	450	620	24	31	31.8	3	2.8	2	54.578007	-1.216564	450738.7212	520592.8085
Millwall	2	320	499	26	30	34	3	3	2	51.486013	-0.050533	535454.025	178141.8077
Nott'm Forest	2	370	560	20	35	27.8	3	2.8	2	52.939858	-1.133244	458347.445	338403.0004
Peterboro	2	275	450	15	25	22.9	3	2.9	2	52.564717	-0.240412	519366.4737	297774.7559
Sheffield Weds	2	315	573	24	30	32	3	3	2	53.411367	-1.500621	433292	390622
Watford	2	355	520	26	31	33.6	3	3.2	1.4	51.652091	-0.403876	510518.8475	196017.0124
Wolves	2	389	540	24	30	32.1	3	3	2.1	52.592816	-2.129459	391327.2602	299454.3345
Bournemouth	3	361	494	18	26	26.3	3	3.5	1.8	50.735219	-1.838536	411490.8805	92857.43489
Brentford	3	285	399	21	23	28.5	3	3	1.5	51.488158	-0.302446	517958.6411	177944.7182
Bury	3	260	335	17	21	24	3	2.8	1.2	53.580442	-2.294791	380579.7299	409357.0109
Carlisle	3	321	381	19	22	26.3	3	2.6	1.7	54.895515	-2.913008	341541.6665	556024.2521
Colchester	3	357	501	18	26	25.9	3	2.9	2	51.87559	0.881567	598451.8596	223593.5504
Coventry	3	253	391	18	25	26	3	3	2	52.444122	-1.496201	434340.6741	283025.5399
Crawley Town	3	305	399	17	22	24	3	3	1	51.509755	-0.232974	522723.8056	180460.5273
Crewe	3	275	315	20	20	27.1	3	2.6	1.5	53.087945	-2.436079	370890.5671	354614.5658
Doncaster	3	339	399	15	23	23	3	3	2	53.516226	-1.104641	459467.2353	402544.9294
Hartlepool	3	155	399	20	25	27.75	3	3	1.75	54.689064	-1.21253	450861.0088	532953.265
Leyton Orient	3	200	325	23	25	29.8	3	2.5	1.3	51.560064	-0.013046	537833.0125	186446.3991
Milton Keynes Dons	3	300	360	20	23	27.8	3	3	1.8	52.0096544	-0.733656607	487014.1492	235337.0261
Notts County	3	340	420	22	24	29.2	3	2.5	1.7	52.942638	-1.136913	458097.1588	338709.2794
